trials.thisTrialN,trials.stepSize,trials.intensity,correctAns,ori,polygon.started,polygon.stopped,polygon_2.started,polygon_2.stopped,grating.started,grating.stopped,trials.response,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0.4,0.3,up,280,9.41681389999576,None,9.41681389999576,None,9.41681389999576,9.500000100000761,1,1.0990637999493629,9.088438200065866,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
1,0.4,0.11943215116604917,up,280,10.550926099997014,None,10.550926099997014,None,10.550926099997014,10.634294699993916,1,1.2976613000500947,10.217284900019877,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
2,0.4,0.0475467957738334,down,260,11.868729099980555,None,11.868729099980555,None,11.868729099980555,11.952053399989381,1,1.003806299995631,11.535072800004855,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
3,0.4,0.018928720334405798,up,280,12.902811000007205,None,12.902811000007205,None,12.902811000007205,12.98628239997197,0,1.1859722000081092,12.569215100025758,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
4,0.4,0.0475467957738334,up,280,14.120689600007609,None,14.120689600007609,None,14.120689600007609,14.203974000061862,1,1.039945499971509,13.786972900037654,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
5,0.2,0.0475467957738334,down,260,15.188148200046271,None,15.188148200046271,None,15.188148200046271,15.271462099975906,1,0.9649425999959931,14.854429100058042,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
6,0.2,0.029999999999999995,down,260,16.17229719995521,None,16.17229719995521,None,16.17229719995521,16.255606399965473,1,1.1966153000248596,15.838677400024608,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
7,0.2,0.029999999999999995,down,260,17.389965699985623,None,17.389965699985623,None,17.389965699985623,17.473330599954352,1,0.9866209999890998,17.05629930004943,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
8,0.2,0.018928720334405794,down,260,18.40746310004033,None,18.40746310004033,None,18.40746310004033,18.490918700001203,1,1.0252854999853298,18.073871699976735,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
9,0.2,0.018928720334405794,down,260,19.45829560002312,None,19.45829560002312,None,19.45829560002312,19.541760200052522,1,1.1262753999326378,19.124750099959783,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
10,0.2,0.011943215116604915,down,260,20.60924600006547,None,20.60924600006547,None,20.60924600006547,20.692733000032604,0,1.1751967000309378,20.275616500061005,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
