1.9777 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
6.7984 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001E4541EDBE0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001E4540F82E0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1200]), stencilBits=0, stereo=False, units='deg', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.7985 	EXP 	window1: mouseVisible = True
6.7986 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
6.7986 	EXP 	window1: recordFrameIntervals = False
6.9646 	EXP 	window1: recordFrameIntervals = True
7.1483 	EXP 	Screen (0) actual frame rate measured at 59.96Hz
7.1483 	EXP 	window1: recordFrameIntervals = False
9.0695 	EXP 	Created polygon = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='polygon', opacity=1.0, ori=0.0, pos=array([-4.,  0.]), size=array([0.15, 0.5 ]), units='deg', vertices=ndarray(...), win=Window(...))
9.0711 	EXP 	Created polygon_2 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-2.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='polygon_2', opacity=1.0, ori=0.0, pos=array([-4.,  0.]), size=array([0.5 , 0.15]), units='deg', vertices=ndarray(...), win=Window(...))
9.0858 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, interpolate=True, mask='circle', maskParams=None, name='grating', opacity=1.0, ori=1.0, phase=array([0., 0.]), pos=array([4., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([3., 3.]), tex='sin', texRes=256.0, units='deg', win=Window(...))
9.0859 	WARNING 	Increasing number of minimum required reversals to the number of step sizes, (5).
9.0884 	EXP 	grating: ori = 280.0
9.4168 	EXP 	polygon: autoDraw = True
9.4168 	EXP 	polygon_2: autoDraw = True
9.4168 	EXP 	grating: autoDraw = True
9.4168 	EXP 	grating: tex = 'sin'
9.5000 	EXP 	grating: autoDraw = False
10.2173 	EXP 	polygon: autoDraw = False
10.2173 	EXP 	polygon_2: autoDraw = False
10.2173 	EXP 	grating: autoDraw = False
10.2173 	EXP 	grating: ori = 280.0
10.2183 	DATA 	Keypress: up
10.5509 	EXP 	polygon: autoDraw = True
10.5509 	EXP 	polygon_2: autoDraw = True
10.5509 	EXP 	grating: autoDraw = True
10.5509 	EXP 	grating: tex = 'sin'
10.6343 	EXP 	grating: autoDraw = False
11.5351 	EXP 	polygon: autoDraw = False
11.5351 	EXP 	polygon_2: autoDraw = False
11.5351 	EXP 	grating: autoDraw = False
11.5351 	EXP 	grating: ori = 260.0
11.5360 	DATA 	Keypress: up
11.8687 	EXP 	polygon: autoDraw = True
11.8687 	EXP 	polygon_2: autoDraw = True
11.8687 	EXP 	grating: autoDraw = True
11.8687 	EXP 	grating: tex = 'sin'
11.9521 	EXP 	grating: autoDraw = False
12.5692 	EXP 	polygon: autoDraw = False
12.5692 	EXP 	polygon_2: autoDraw = False
12.5692 	EXP 	grating: autoDraw = False
12.5692 	EXP 	grating: ori = 280.0
12.5702 	DATA 	Keypress: down
12.9028 	EXP 	polygon: autoDraw = True
12.9028 	EXP 	polygon_2: autoDraw = True
12.9028 	EXP 	grating: autoDraw = True
12.9028 	EXP 	grating: tex = 'sin'
12.9863 	EXP 	grating: autoDraw = False
13.7715 	DATA 	Keypress: down
13.7870 	EXP 	polygon: autoDraw = False
13.7870 	EXP 	polygon_2: autoDraw = False
13.7870 	EXP 	grating: autoDraw = False
13.7870 	EXP 	grating: ori = 280.0
14.1207 	EXP 	polygon: autoDraw = True
14.1207 	EXP 	polygon_2: autoDraw = True
14.1207 	EXP 	grating: autoDraw = True
14.1207 	EXP 	grating: tex = 'sin'
14.2040 	EXP 	grating: autoDraw = False
14.8544 	EXP 	polygon: autoDraw = False
14.8544 	EXP 	polygon_2: autoDraw = False
14.8544 	EXP 	grating: autoDraw = False
14.8544 	EXP 	grating: ori = 260.0
14.8554 	DATA 	Keypress: up
15.1881 	EXP 	polygon: autoDraw = True
15.1881 	EXP 	polygon_2: autoDraw = True
15.1881 	EXP 	grating: autoDraw = True
15.1881 	EXP 	grating: tex = 'sin'
15.2715 	EXP 	grating: autoDraw = False
15.8387 	EXP 	polygon: autoDraw = False
15.8387 	EXP 	polygon_2: autoDraw = False
15.8387 	EXP 	grating: autoDraw = False
15.8387 	EXP 	grating: ori = 260.0
15.8396 	DATA 	Keypress: down
16.1723 	EXP 	polygon: autoDraw = True
16.1723 	EXP 	polygon_2: autoDraw = True
16.1723 	EXP 	grating: autoDraw = True
16.1723 	EXP 	grating: tex = 'sin'
16.2556 	EXP 	grating: autoDraw = False
17.0563 	EXP 	polygon: autoDraw = False
17.0563 	EXP 	polygon_2: autoDraw = False
17.0563 	EXP 	grating: autoDraw = False
17.0563 	EXP 	grating: ori = 260.0
17.0573 	DATA 	Keypress: down
17.3900 	EXP 	polygon: autoDraw = True
17.3900 	EXP 	polygon_2: autoDraw = True
17.3900 	EXP 	grating: autoDraw = True
17.3900 	EXP 	grating: tex = 'sin'
17.4733 	EXP 	grating: autoDraw = False
18.0739 	EXP 	polygon: autoDraw = False
18.0739 	EXP 	polygon_2: autoDraw = False
18.0739 	EXP 	grating: autoDraw = False
18.0739 	EXP 	grating: ori = 260.0
18.0748 	DATA 	Keypress: down
